Year,Month,Chinese Entity,Quantity in Millions,Share Size,Transaction Party,Sector,Subsector,Country,Region,OBOR
2005,January,Sinohydro,$100 ,,,Transport,Aviation,Qatar,Arab Middle East and North Africa,1
2005,January,Minmetals,$500 ,,Cubapetroleo,Metals,,Cuba,North America,0
2005,January,China Academy of Sciences,"$1,740 ",,IBM,Technology,,United States,USA,0
2005,February,Sinohydro,$150 ,,Oman Wastewater Services,Utilities,,Oman,Arab Middle East and North Africa,1
2005,February,China Railway Construction,"$1,830 ",,,Transport,Rail,Angola,Sub-Saharan Africa,0
2005,February,Sinohydro,$370 ,,,Transport,Autos,Ecuador,South America,0
2005,February,Minmetals,$550 ,50%,Codelco,Metals,Copper,Chile,South America,0
2005,March,Sinoma,$170 ,,Riyadh Cement,Real estate,Construction,Saudi Arabia,Arab Middle East and North Africa,1
2005,March,MCC,$670 ,85%,Highlands Pacific,Metals,Steel,Papua New Guinea,East Asia,0
2005,April,Sinomach,$100 ,,,Utilities,,Sudan,Arab Middle East and North Africa,0
2005,April,"Minmetals, China Metallurgical",$240 ,,,Metals,Steel,Brazil,South America,0
2005,April,CNOOC,$130 ,17%,MEG Energy,Energy,Oil,Canada,North America,0
2005,May,CNPC,$390 ,,SONATRACH,Energy,,Algeria,Arab Middle East and North Africa,0
2005,June,Sinomach and Sinohydro,$860 ,,,Energy,Coal,Indonesia,East Asia,1
2005,June,MCC,$170 ,,,Transport,Aviation,Mauritania,Arab Middle East and North Africa,0
2005,June,"China Railway Construction, Genertec","$1,270 ",,Cengiz and IC Ictas,Transport,Rail,Turkey,West Asia,1
2005,June,Sinopec,$120 ,40%,Synenco,Energy,Oil,Canada,North America,0
2005,July,"CITIC, Sinohydro",$130 ,,,Energy,Hydro,Myanmar,East Asia,1
2005,July,Jiangsu Yuejin,$100 ,100%,MG,Transport,Autos,United Kingdom,Europe,0
2005,August,CNPC,"$4,200 ",67%,PetroKazakhstan,Energy,Oil,Kazakhstan,West Asia,1
2005,September,Sinopec,$350 ,45%,Aker Kvaerner,Chemicals,,Saudi Arabia,Arab Middle East and North Africa,1
2005,September,CNPC and Sinopec,"$1,420 ",,EnCana,Energy,Oil,Ecuador,South America,0
2005,September,State-Owned Enterprise Investment Company and Beijing Jingdeshun,$200 ,,,Energy,Oil,Mongolia,East Asia,1
2005,October,China Nonferrous,$300 ,,Kazakhstan Aluminum,Metals,Aluminum,Kazakhstan,West Asia,1
2005,October,China Communications Construction,$200 ,,,Transport,Autos,Indonesia,East Asia,1
2005,October,ChemChina,$180 ,100%,Qenos,Chemicals,,Australia,Australia,0
2005,October,Sinosteel,$140 ,50%,Midwest,Metals,Steel,Australia,Australia,0
2005,November,Norinco,$120 ,,Electricite du Laos,Energy,Hydro,Laos,East Asia,1
2005,November,CITIC,"$1,190 ",,,Real estate,Construction,Venezuela,South America,0
2005,December,Sinohydro,$210 ,,,Agriculture,,Algeria,Arab Middle East and North Africa,0
2005,December,CITIC,$430 ,,Brazil Power,Energy,Coal,Brazil,South America,0
2005,December,"CITIC, China Aluminum",$900 ,,South Iran Aluminum,Metals,Aluminum,Iran,West Asia,1
2005,December,China Communications Construction,$210 ,,,Transport,Autos,Angola,Sub-Saharan Africa,0
2005,December,Sinoma,$580 ,,Saudi Cement,Real estate,Construction,Saudi Arabia,Arab Middle East and North Africa,1
2005,December,CNPC,$290 ,16%,Petro-Canada,Energy,Oil,Syria,Arab Middle East and North Africa,1
2006,January,State Construction Engineering,$300 ,,Dubai Properties,Real estate,Construction,United Arab Emirates,Arab Middle East and North Africa,1
2006,January,Norinco,$310 ,,Tehran Rail,Transport,Rail,Iran,West Asia,1
2006,January,ChemChina,$480 ,100%,Adisseo,Agriculture,,France,Europe,0
2006,January,CNOOC,"$2,270 ",45%,South African Petroleum,Energy,,Nigeria,Sub-Saharan Africa,0
2006,February,Sinohydro,$280 ,,,Energy,Hydro,Cambodia,East Asia,1
2006,February,Sinohydro,$540 ,,,Real estate,Construction,Qatar,Arab Middle East and North Africa,1
2006,March,Sinomach,$460 ,,,Energy,Coal,Sri Lanka,West Asia,1
2006,March,CITIC,"$2,920 ",100%,Mineralogy,Metals,Steel,Australia,Australia,0
